#
# Do not edit this file. It will be replaced during upgrade. If you want to add named accounts, add them to names_custom.txt
#
addr	symbol	source	name	logo	description	contract	visible
0x74fd51a98a4a1ecbef8cc43be801cce630e260bd	SCC	Etherscan.io	SiaCashCoin	siacashcoin_28.png	The SiaCashCoin ecosystem will change the way your precious data will be stored, secured, and protected.	true	true
0x7528e3040376edd5db8263db2f5bd1bed91467fb	SIM	Etherscan.io	Simmitri	simmitri_28.png	Creating a platform that rewards participants for saving and generating electrical energy.And	true	true
0x7627de4b93263a6a7570b8dafa64bae812e5c394	NXX	Etherscan.io	Nexxus	nexxus_28.png	NexxusCoin is the internal token that powers the Nexxus Ecosystem and creates a better world by empowering individuals and communities worldwide	true	true
0x763186eb8d4856d536ed4478302971214febc6a9	BETR	Etherscan.io	Better Betting	betterbetting_28.png	The betting crypto-currency that will establish truly decentralized sports betting on the internet.	true	true
0x7654915a1b82d6d2d0afc37c52af556ea8983c7e	IFT	Etherscan.io	Feed	investfeed2_28.png	We are building the world's first NEXT-GEN CRYPTOCURRENCY SOCIAL NETWORK.	true	true
0x765f0c16d1ddc279295c1a7c24b0883f62d33f75	DTX	Etherscan.io	DaTa eXchange Token	databroker_28.png	As a decentralized marketplace for IoT sensor data using Blockchain technology, Databroker DAO enables sensor owners to turn generated data into revenue streams.	true	true
0x76974c7b79dc8a6a109fd71fd7ceb9e40eff5382	DOW	Etherscan.io	DOW	dowcoin_28.png	No Description	true	true
0x7703c35cffdc5cda8d27aa3df2f9ba6964544b6e	PYLNT	Etherscan.io	Pylon	pylon_28.png	P2P Distributed Green Energy Market.	true	true
0x7728dfef5abd468669eb7f9b48a7f70a501ed29d	PRG	Etherscan.io	PRG	prg_28_2.png	No description	true	true
0x77761e63c05aee6648fdaeaa9b94248351af9bcd	PASS	Etherscan.io	PASS Token	passtoken_28.png	WisePass is a lifestyle platform offering daily privileges to its members. PASS Token will facilitate the access to WisePass lifestyle memberships. It will allow its users to transact real services.	true	true
0x780116d91e5592e58a3b3c76a351571b39abcec6	BOXX	Etherscan.io	Boxx	boxx_28.png	An Event Ticketing Blockchain Protocol	true	true
0x78a2a1029e3168b49d3a276c787050ff5106dcf2	EZW	Etherscan.io	EZOOW	ezooww_28.png	EZOOW is the easy way for travel , it is a blockchain booking solution that facilitate booking all travel.	true	true
0x78a73b6cbc5d183ce56e786f6e905cadec63547b	FT	Etherscan.io	Fabric Token	fabric1_28.png	The Fabric Token (FT) ecosystem aims to empower individuals and businesses with easy access to blockchain technology and smart contracts by providing a bundle of user-friendly software.	true	true
0x78b7fada55a64dd895d8c8c35779dd8b67fa8a05	ATL	Etherscan.io	ATLANT	atlant_28_2.png	Real Estate Blockchain Platform.	true	true
0x78c292d1445e6b9558bf42e8bc369271ded062ea	CYMT	Etherscan.io	CyberMusic	cybermusic_28.png	Cyber Music will be the new point of reference for the music market and will be fully developed using the technologies that the blockchain has available.	true	true
0x791425156956e39f2ab8ab06b79de189c18e95e5	IBT	Etherscan.io	IcoBay	icobay_28.png	Digital marketing and advertising platform or ICOs	true	true
0x7a07e1a0c2514d51132183ecfea2a880ec3b7648	IXE	Etherscan.io	IXE Token	ixtus_28.png	Educational project for children	true	true
0x7a41e0517a5eca4fdbc7fbeba4d4c47b9ff6dc63	ZSC	Etherscan.io	ZeusShieldCoin	zeusshield_28.png	Both blockchain and AI are adopted and integrated in the Zeusshield insurance system. Such integration leads to a green insurance ecosystem in terms of a business-to-customer based peer-to-peer (p2p) insurance market platform. The platform is open to both the insurer and insured units.	true	true
0x7b0c06043468469967dba22d1af33d77d44056c8	MRPH	Etherscan.io	Morpheus.Network	morpheus_28.png	Morpheus.Network was designed with some of the world's largest shipping, customs & banking firms to create a full-service, global, automated, supply chain platform with an integrated cryptocurrency payment system	true	true
0x7b22938ca841aa392c93dbb7f4c42178e3d65e88	ASTRO	Etherscan.io	AstroTokens	astronaut_28.png	Astronaut is a research-integrated asset manager that is changing the landscape of crypto investment.	true	true
0x7b2df125567815ac9b57da04b620f50bc93b320c	ACTP	Etherscan.io	Archetypal Network	archetypal_28.png	Archetypal Network is an Ethereum based cloudmining smart contract miner to support real-time mining and high transaction throughput.	true	true
0x7ba19b7f7d106a9a1e0985397b94f38eee0b555e	WIX	Etherscan.io	Wixlar	wixlar_28.png	Wixlar is a Global Decentralized Digital Currency based on the BlockChain Technology which is instant, secure, private and with low fee transactions.	true	true
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098	SAN	Etherscan.io	SAN	santiment_28_2.png	A Better Way to Trade Crypto-Markets - Market Datafeeds, Newswires, and Crowd Sentiment Insights for the Blockchain World	true	true
0x7d4b8cce0591c9044a22ee543533b72e976e36c3	CAG	Etherscan.io	ChangeBank	changecoin_28.png	Change aims to be a a new age financial proposition for individuals with high financial ambitions.	true	true
0x7d5edcd23daa3fb94317d32ae253ee1af08ba14d	EBET	Etherscan.io	Ethbet	ethbet_28.png	The decentralized, peer-to-peer, and provably-fair Ethereum-based dicing game without a house edge.	true	true
0x7dc4f41294697a7903c4027f6ac528c5d14cd7eb	RMC	Etherscan.io	RemiCoin	remicoin_28.png	No Description	true	true
0x8069080a922834460c3a092fb2c1510224dc066b	SPC	Etherscan.io	SpaceChain	spacechain_28.png	SpaceChain is a community-based space platform that combines space and blockchain technologies to build the world’s first open-source blockchain-based satellite network.	true	true
0x809826cceab68c387726af962713b64cb5cb3cca	NCASH	Etherscan.io	NucleusVision	nucleus-vision_28.png	Founded at Harvard University, Nucleus Vision is an IoT-based, contactless identification system that empowers retailers to identify and better serve their customers.	true	true
0x80a7e048f37a50500351c204cb407766fa3bae7f	CRPT	Etherscan.io	Crypterium	crypterium_28_2.png	Cryptobank for Cryptopeople.	true	true
0x80fb784b7ed66730e8b1dbd9820afd29931aab03	LEND	Etherscan.io	EthLend	ethlend_28.png	Decentralized and secure financial marketplace for peer to peer lending agreements using Blockchain and Smart Contracts.	true	true
0x814964b1bceaf24e26296d031eadf134a2ca4105	NEWB	Self	NewBium		Usual test case for QuickBlocks	true	true
0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26	MDT	Etherscan.io	Measurable Data Token	mdt_28.png	Decentralized Data Exchange Economy.	true	true
0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5	KIN	Etherscan.io	Kin	kin_28_3.png	The vision for Kin is rooted in the belief that a broad group of participants can come together to create an open ecosystem of tools for digital communication and commerce that prioritizes consumer experience, bringing a fair and user-oriented model for digital services to the market.	true	true
0x81b4d08645da11374a03749ab170836e4e539767	PMNT	Etherscan.io	Paymon	paymon_28.png	Blockchain platform that includes several innovative products.	true	true
0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c	DAT	Etherscan.io	Datum	datum.png	Datum is the decentralized marketplace for social and IoT data.	true	true
0x81e74a3ea4bab2277aa3b941e9d9f37b08ac5374	IFOOD	Etherscan.io	Ifoods Token	ifoods_28.png	Make shared eco for global foods	true	true
0x82b0e50478eeafde392d45d1259ed1071b6fda81	DNA	Etherscan.io	DNA	encrypgen2_28.png	Genomic Data Encryption.	true	true
