blockNum	nBlocks	blksWithTxs	blksWithoutTxs	blksWithBlooms	blksWithoutBlooms	bitsInBloomsBlk	bytesInBloomsBlk	
1820000	0	0	0	2000	0	217159	541000	
1830000	0	0	0	2000	0	223103	541176	
1840000	0	0	0	1999	0	216376	540648	
1850000	0	0	0	1998	0	225513	540320	
1860000	0	0	0	1999	0	223669	540552	
1870000	0	0	0	2000	0	209817	540680	
1880000	0	0	0	1999	0	213361	540392	
1890000	0	0	0	1998	0	238005	540424	
1900000	0	0	0	1999	0	200126	539456	
1910000	0	0	0	1997	0	196182	539656	
1920000	0	0	0	1990	0	233031	537936	
1930000	0	0	0	1998	0	260677	542648	
1940000	0	0	0	1999	0	273982	542224	
1950000	0	0	0	1998	0	317740	542472	
1960000	0	0	0	2000	0	342120	543152	
1970000	0	0	0	1999	0	307735	542440	
1980000	0	0	0	1999	0	261759	541856	
1990000	0	0	0	1994	0	269141	540504	
2000000	0	0	0	2000	0	297764	542904	
2010000	0	0	0	1997	0	279444	541528	
2020000	0	0	0	2000	0	252825	541640	
2030000	0	0	0	1997	0	250055	540720	
2040000	0	0	0	1994	0	246200	540448	
2050000	0	0	0	1999	0	279503	542096	
2060000	0	0	0	1999	0	270410	542048	
2070000	0	0	0	1995	0	224675	539328	
2080000	0	0	0	1996	0	247507	541072	
2090000	0	0	0	1993	0	261682	540160	
2100000	0	0	0	1995	0	260927	540920	
2110000	0	0	0	1994	0	241256	539304	
2120000	0	0	0	1996	0	248411	540912	
2130000	0	0	0	1996	0	275906	540928	
2140000	0	0	0	1994	0	270398	540520	
2150000	0	0	0	1996	0	265727	541176	
2160000	0	0	0	1989	0	238811	538152	
2170000	0	0	0	1992	0	268952	539736	
2180000	0	0	0	1995	0	285209	540808	
2190000	0	0	0	1999	0	264639	541736	
2200000	0	0	0	1997	0	250487	540056	
2210000	0	0	0	1994	0	264906	539568	
2220000	0	0	0	1989	0	237074	538112	
2230000	0	0	0	1994	0	289729	540464	
2240000	0	0	0	1994	0	245869	538792	
2250000	0	0	0	1989	0	252351	538000	
2260000	0	0	0	1996	0	265668	540800	
2270000	0	0	0	1993	0	264874	539560	
2280000	0	0	0	1998	0	260806	541200	
2290000	0	0	0	1974	0	241764	530760	
2300000	0	0	0	2000	0	292710	542088	
2310000	0	0	0	1849	0	274485	500648	
2320000	0	0	0	1775	0	285199	476032	
2330000	0	0	0	1975	0	1022208	534304	
2340000	0	0	0	1966	0	292968	532184	
2350000	0	0	0	1981	0	252559	536216	
2360000	0	0	0	1963	0	264757	531472	
2370000	0	0	0	1950	0	971305	529056	
2380000	0	0	0	1948	0	323754	528104	
2390000	0	0	0	1897	0	235223	513656	
2400000	0	0	0	1911	0	251410	516472	
2410000	0	0	0	1957	0	257759	529856	
2420000	0	0	0	1966	0	288885	533440	
2430000	0	0	0	1822	0	241836	492448	
2440000	0	0	0	1856	0	286409	499968	
2450000	0	0	0	1957	0	223729	529640	
2460000	0	0	0	1973	0	255312	534568	
2470000	0	0	0	1982	0	288161	536848	
2480000	0	0	0	1961	0	260010	529264	
2490000	0	0	0	1964	0	258980	531088	
2500000	0	0	0	1952	0	235511	526760	
2510000	0	0	0	1985	0	250640	537528	
2520000	0	0	0	1970	0	252183	533296	
