"fromName","ethSpent","usdSpent"
"0x2d19f32620f647d08fa8b9a0fa5206fae15c0ed5 (anon)",0.00352623025784917,13.81
"0x2d51319d75569d386ff38706fd279d405b59888c (anon)",0.00084089335503183,1.73
"0x2faad2f292522ae6c85abf4f5048f3e32e6570ef (anon)",0.00555032402004238,17.1
"0x300d76a6764a3d58f3ad330aa2277e2d31d54708 (anon)",0.00494493594066626,15.23
"0x307c997be2ee5f5d11bc92cd9915f93111146af0 (anon)",0.00554424053333128,17.14
"0x308d97b4a3e893baaf56bb28fc6cbc7f764184dd (anon)",0.00575642364228237,17.79
"0x30bc11f50ebad6727ba95b719b235d14a757a747 (anon)",0.00113384,2.93
"0x31482858561725b74b5ec2a739e447bc74cdf7b9 (anon)",0.00911452580543315,37.52
"0x32e9c9397e6257bce4d9e47cf7e697059f22661c (anon)",0.00514410227828026,15.89
"0x33678ca7d8dd7ef76202459f91fe6bd852280063 (anon)",0.00429533724280427,13.27
"0x34aa3f359a9d614239015126635ce7732c18fdf3 (austintgriffith)",0.658995596743612,2237.15
"0x351a7ff8d9d4b5c237cc806bf173a9e0e450f2c6 (anon)",0.006224942310269,19.24
"0x35bf253f60217abf339e9a01e74bd3eefd683ee5 (anon)",0.00113384,2.93
"0x36d48ebd2dac635f30b3ca76f970346e27519766 (anon)",0.00466537178705631,14.37
"0x3747d4e3ef8daa960f1fe6e59fe463dbd9b0bdae (anon)",0.00438712346263238,13.51
"0x37e324299c5c0011c36713e85029a3cd7810fe30 (anon)",0.00540870413092976,16.66
"0x38430336153468dcf36af5cea7d6bc472425633a (anon)",0.00305867562241943,8.04
"0x39ac673d8661f671fa0a67660ad02c782fc3105d (anon)",0.00552044428962689,17.06
"0x3a051cff039d0ea6964c0f9f01db6e61cc521748 (pggallagher)",0.00145700248354165,2.98
"0x3ad33925fe4092099c9cc6e923ba97ab3ae681ae (anon)",0.00113384,2.93
"0x3b8a113464b5cc65af4bd0f043aab6edf999c84c (anon)",0.00113384,2.93
"0x3c672e679e47b5cc69c93eb3df5b5bf733cf8d4c (anon)",0.00563659437040012,17.36
"0x3c9b541d0317276a05b9512266b8eae233c8e7f0 (anon)",0.00563534006082137,17.42
"0x3cabc8cf68fde5b84bb21b5db1a7c1b43a3a5922 (anon)",0.00599466806894833,18.53
"0x3cbecafdb1ba14e85cc401a1d99f6b87dd40ebd7 (anon)",0.00472816696133998,14.61
"0x3ccd44bb20bc9c06fa8cce8f6aa207ae86d7dd5b (anon)",0.00152973615667263,2.23
"0x3cd93a082b247311595fd2b9ba70c549f03603dc (anon)",0.00084727120503183,1.75
"0x3ce1e7a2b491dd5e545bca1a480ed1084712798f (anon)",0.00470212499820304,9.57
