"blockNumber","transactionIndex","timestamp","tx_date","from","gasUsed","gasPrice","gasCost","etherGasCost","spotPrice","usdGasCost","hash","name","function","compressedTx"
"13100214","327","1629970896","2021-08-26 09:41:36","0x19b570af5dddb8f0f5a15c83d07a1c5153865188","70865","43081109749","3052942842362885","0.003052942842362885","3095.75","9.45","0x36d256291082c77609c1394b50f3e6dec10095047d0a875b3c1aed3e428db193","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13100939","162","1629980489","2021-08-26 12:21:29","0x10d6d2e343281d388291a3e02f3293aaeda67178","96877","96526243660","9351172907049820","0.009351172907049820","3102.29","29.01","0x2849047a4c1d2fbae2444977ccdbbe027c1953ed5cee9d7b9c5e7632a13b7fca","Grant 1707 Llama - a Hub for Crypto Community Treasuries","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13101237","232","1629984349","2021-08-26 13:25:49","0xeeaa36420519d85efab3b7120ac5afa5a5825bfb","70865","69130948023","4898964631649895","0.004898964631649895","3107.16","15.22","0xeb85b60160faca7b87b22b1f94dab9ca56c0f2940e3c6b6e62c057519ee849b3","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13101256","95","1629984579","2021-08-26 13:29:39","0xeeaa36420519d85efab3b7120ac5afa5a5825bfb","70865","64588208550","4577043398895750","0.004577043398895750","3107.32","14.22","0x1c8b3ca72be620897dbc71ca43b9d9dc568c0e74218b9f57b0778917d78cb7f9","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13101655","97","1629989372","2021-08-26 14:49:32","0x2b888954421b424c5d3d9ce9bb67c9bd47537d12","391678","76000000000","29767528000000000","0.029767528000000000","3118.18","92.82","0x0cf439928034fd8ad3a255416d8ecbb6df1488e2d3a7b55ea66b36dba353513e","Lefteris","propose","{name:propose|type:function|signature:propose(address[]|uint256[]|string[]|bytes[]|string)|encoding:0xda95691a|inputs:{calldatas:[0x0000000000000000000000000000000000000000000000000000000000000020]|description:FDD-WG Q3 2021 Budget Proposal 2021 \nThis is a request to send 50|000 GTC to the FDD-WG multisig to fund their Q3 2021 budget.\n\nThis workstream has the primary mandate of defending the Gitcoin network against fraud|collusion|sybil attacks|and any other degradation of the system\u2019s legitimacy. This extends to the legitimacy of the DAO tasked with shepherding the dGrants protocol as well.\n\nFor more info check the full proposal here:https://gov.gitcoin.co/t/proposal-fdd-wg-anti-fraud-sybil-collusion-q3-budget-request/8210|signatures:[]|targets:[0xde30da39c46104798bb5aa3fe8b9e0e1f348163f]|values:[0]}|outputs:{val_0:}}"
"13102062","190","1629994983","2021-08-26 16:23:03","0x34aa3f359a9d614239015126635ce7732c18fdf3","136311","130563674985","17797265100880335","0.017797265100880335","3089.21","54.98","0xe1d4b0a6b603b5288fddba8d18abb159211707cd3e42c4717ab513bc5cdaf3b7","austintgriffith","execute","{name:execute|type:function|stateMutability:payable|signature:execute(uint256)|encoding:0xfe0d94c1|inputs:{proposalId:1}}"
"13103035","220","1630007661","2021-08-26 19:54:21","0x224e69025a2f705c8f31efb6694398f8fd09ac5c","96881","83955403192","8133683416644152","0.008133683416644152","3105.57","25.26","0x5d9ebc0dd13acf543e8be296dc233abce9a9a9ef9907f4dabee3b1a74ef4a796","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:2|support:true}}"
"13103664","292","1630016112","2021-08-26 22:15:12","0x34aa3f359a9d614239015126635ce7732c18fdf3","389651","114539052611","44630256388928761","0.044630256388928761","3129.52","139.67","0xabc50b7fb2aa96385af8d5c917f0331787196f582e48e73c35036eb2ec3221f4","austintgriffith","propose","{name:propose|type:function|signature:propose(address[]|uint256[]|string[]|bytes[]|string)|encoding:0xda95691a|inputs:{calldatas:[0x0000000000000000000000000000000000000000000000000000000000000020]|description:\ud83d\ude80 Moonshot Workstream Allocation \nThis proposal looks to ratify the allocation of 40|000 GTC from the Community Treasury to the prototyping workstream.\n\nThe snapshot vote passed on Aug 11|2021 (1.61m GTC 99.54%):\nhttps://snapshot.org/#/gitcoindao.eth/proposal/QmSYVGy8KMrWu3Lrue8ah9zrWZb4wrCJboi4o5KDmNS6P2\n\nThe funds will go to a multisig controlled by the Moonshot Collective and will be distributed to developers building coordination tools and experiments. \n\n(here is the link to the destination Safe:https://gnosis-safe.io/app/#/safes/0x230Fc981F7CaE90cFC4ed4c18F7C178B239e5F9F)|signatures:[]|targets:[0xde30da39c46104798bb5aa3fe8b9e0e1f348163f]|values:[0]}|outputs:{val_0:}}"
"13104901","96","1630032766","2021-08-27 02:52:46","0xa4ca1b15fe81f57cb2d3f686c7b13309906cd37b","70865","80376244173","5695862543319645","0.005695862543319645","3121.70","17.78","0x77619eac11ceeac510b702aba19ad243411f2a47004dea734e78079d013b0773","Grant 0975 Insurenet Blockchain Insurance Platform","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
"13105861","123","1630045276","2021-08-27 06:21:16","0xeceb2fb4d8a93b0b19273b033abca7215062d31e","65452","66029413248","4321757155908096","0.004321757155908096","3105.66","13.42","0xad25e6ea86ee11c7957e7e365e93d7d697e3b1a8141497406615807924c82ca2","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:3|support:true}}"
