DATE	NBLOCKS	STARTBLOCK	ENDBLOCK	NTRACES	NCALLS	NSELFDESTRUCT
12/6/15	4913	647335	652247	9549	9390	0
12/7/15	4971	652248	657218	7277	7225	1
12/8/15	4911	657219	662129	7014	6971	3
12/9/15	5208	662130	667337	7097	7057	0
12/10/15	5144	667338	672481	7689	7633	0
12/11/15	5062	672482	677543	8477	8423	0
12/12/15	5076	677544	682619	8415	8378	2
12/13/15	5280	682620	687899	9115	9021	1
12/14/15	4999	687900	692898	16356	16283	1
12/15/15	5070	692899	697968	50353	50315	2
12/16/15	4982	697969	702950	11931	11898	0
12/17/15	5060	702951	708010	10627	10521	1
12/18/15	5020	708011	713030	10734	10620	2
12/19/15	5038	713031	718068	10844	10834	0
12/20/15	4947	718069	723015	13559	13531	1
12/21/15	4976	723016	727991	15828	15767	0
12/22/15	5129	727992	733120	30124	30098	3
12/23/15	5112	733121	738232	67590	67559	1
12/24/15	5018	738233	743250	20668	20653	0
12/25/15	5080	743251	748330	16250	16221	3
12/26/15	5004	748331	753334	15844	15802	1
12/27/15	5018	753335	758352	75662	75640	1
12/28/15	5081	758353	763433	24274	24216	1
12/29/15	4981	763434	768414	21277	21199	1
12/30/15	5028	768415	773442	79730	79674	0
12/31/15	5040	773443	778482	18066	18013	0
1/1/16	4885	778483	783367	11991	11954	0
1/2/16	5095	783368	788462	15036	15008	0
1/3/16	5134	788463	793596	15349	15332	0
1/4/16	5096	793597	798692	16198	16138	3
1/5/16	5126	798693	803818	43281	43217	7
1/6/16	5090	803819	808908	41511	41427	6
1/7/16	4981	808909	813889	63187	63131	0
1/8/16	5176	813890	819065	17406	17365	2
1/9/16	5099	819066	824164	20702	20590	0
1/10/16	5093	824165	829257	16657	16582	0
1/11/16	5107	829258	834364	19037	18974	5
1/12/16	4930	834365	839294	18057	18006	0
1/13/16	5002	839295	844296	46698	46656	1
1/14/16	5090	844297	849386	17587	17538	2
1/15/16	5084	849387	854470	14990	14931	1
1/16/16	5046	854471	859516	15496	15443	0
1/17/16	5036	859517	864552	12753	12703	0
1/18/16	5072	864553	869624	19072	19028	0
1/19/16	4972	869625	874596	25638	25590	1
1/20/16	5038	874597	879634	16365	16293	1
1/21/16	4963	879635	884597	15342	15232	1
1/22/16	5007	884598	889604	27903	27795	2
1/23/16	4928	889605	894532	13722	13632	1
1/24/16	5168	894533	899700	17649	17552	3
1/25/16	4881	899701	904581	30374	30291	0
1/26/16	5152	904582	909733	26845	26770	2
1/27/16	4983	909734	914716	47294	47182	3
1/28/16	5059	914717	919775	65902	65818	1
1/29/16	4981	919776	924756	38755	38672	0
1/30/16	5017	924757	929773	27997	27920	0
1/31/16	4872	929774	934645	24533	24433	2
2/1/16	5015	934646	939660	21615	21523	2
2/2/16	4955	939661	944615	22872	22813	0
2/3/16	5199	944616	949814	22200	22133	0
2/4/16	5062	949815	954876	22395	22285	2
2/5/16	5046	954877	959922	22989	22858	12
2/6/16	4987	959923	964909	108443	108336	16
2/7/16	5087	964910	969996	21239	21193	1
2/8/16	5071	969997	975067	22263	22129	1
2/9/16	5055	975068	980122	22097	22018	4
2/10/16	4961	980123	985083	22994	22927	1
2/11/16	5019	985084	990102	28398	28021	1
2/12/16	5033	990103	995135	25802	25688	5
