DATE	STARTBLOCK	NERRORS
11/5/16	2567579	123
11/6/16	2573575	135
11/7/16	2579629	99
11/8/16	2585944	161
11/9/16	2592103	311
11/10/16	2598027	604
11/11/16	2603993	1119
11/12/16	2609985	568
11/13/16	2616071	630
11/14/16	2622274	601
11/15/16	2628341	698
11/16/16	2634347	598
11/17/16	2640392	639
11/18/16	2646260	749
11/19/16	2652549	621
11/20/16	2658699	747
11/21/16	2664878	929
11/22/16	2670951	1011
11/23/16	2676873	510
11/24/16	2682710	192
11/25/16	2688624	2446
11/26/16	2694735	120
11/27/16	2700673	81
11/28/16	2706618	373
11/29/16	2712660	838
11/30/16	2718648	831
12/1/16	2724709	236
12/2/16	2730766	250
12/3/16	2736841	817
12/4/16	2743001	849
12/5/16	2748984	884
12/6/16	2754988	923
12/7/16	2761077	257
12/8/16	2767150	805
12/9/16	2773275	882
12/10/16	2779325	832
12/11/16	2785400	857
12/12/16	2791498	327
12/13/16	2797497	226
12/14/16	2803567	930
12/15/16	2809647	919
12/16/16	2815648	899
12/17/16	2821723	927
12/18/16	2827839	952
12/19/16	2833935	644
12/20/16	2839967	526
12/21/16	2846036	1095
12/22/16	2852106	1001
12/23/16	2858062	1023
12/24/16	2864016	938
12/25/16	2870022	995
12/26/16	2876149	410
12/27/16	2882215	1097
12/28/16	2888213	1122
12/29/16	2894269	1186
12/30/16	2900351	1226
12/31/16	2906414	437
1/1/17	2912407	126
1/2/17	2918518	173
1/3/17	2924576	645
1/4/17	2930611	135
1/5/17	2936752	94
1/6/17	2942843	118
1/7/17	2948852	177
1/8/17	2954960	311
1/9/17	2961034	347
1/10/17	2967116	409
1/11/17	2973146	1179
1/12/17	2979193	1487
1/13/17	2985249	1451
1/14/17	2991355	1347
1/15/17	2997422	1288
1/16/17	3003507	1417
1/17/17	3009559	1272
1/18/17	3015561	1229
1/19/17	3021626	274
1/20/17	3027784	391
1/21/17	3033747	1266
1/22/17	3039793	1402
1/23/17	3045858	1304
1/24/17	3051906	1415
1/25/17	3057943	1055
1/26/17	3063953	193
1/27/17	3070034	183
1/28/17	3076019	139
1/29/17	3082082	232
1/30/17	3088042	282
1/31/17	3094136	298
2/1/17	3100154	334
2/2/17	3106163	444
2/3/17	3112210	742
2/4/17	3118200	639
2/5/17	3124278	464
2/6/17	3130355	711
2/7/17	3136405	715
2/8/17	3142403	233
2/9/17	3148470	190
2/10/17	3154499	291
2/11/17	3160539	141
2/12/17	3166577	164
2/13/17	3172636	406
2/14/17	3178706	234
2/15/17	3184729	636
2/16/17	3190818	145
2/17/17	3196870	162
2/18/17	3202882	116
2/19/17	3208881	113
2/20/17	3214900	189
2/21/17	3220915	255
2/22/17	3226967	130
2/23/17	3232935	157
2/24/17	3238954	163
2/25/17	3244965	128
2/26/17	3251004	95
2/27/17	3257093	270
2/28/17	3263081	373
3/1/17	3269188	1840
3/2/17	3275146	379
3/3/17	3281207	160
3/4/17	3287213	215
3/5/17	3293198	276
3/6/17	3299271	212
3/7/17	3305248	186
3/8/17	3311226	302
3/9/17	3317242	262
3/10/17	3323170	202
3/11/17	3329123	242
3/12/17	3335125	214
3/13/17	3341044	454
3/14/17	3347084	330
3/15/17	3353045	276
3/16/17	3359031	355
3/17/17	3365021	342
3/18/17	3371067	144
3/19/17	3377058	172
3/20/17	3383008	292
3/21/17	3389074	330
3/22/17	3395031	265
3/23/17	3401039	380
3/24/17	3406953	268
3/25/17	3412866	255
3/26/17	3418828	255
3/27/17	3424809	874
3/28/17	3430760	987
3/29/17	3436660	525
3/30/17	3442648	594
3/31/17	3448558	529
4/1/17	3454529	409
4/2/17	3460455	803
4/3/17	3466301	628
4/4/17	3472280	742
4/5/17	3478212	548
4/6/17	3484198	696
4/7/17	3490078	551
4/8/17	3496024	504
4/9/17	3501960	615
4/10/17	3507757	630
4/11/17	3513515	657
4/12/17	3519364	559
4/13/17	3525143	512
4/14/17	3530941	515
4/15/17	3536849	647
4/16/17	3542570	405
4/17/17	3548390	439
4/18/17	3554251	574
4/19/17	3560112	1506
4/20/17	3565830	601
4/21/17	3571689	1225
4/22/17	3577567	641
4/23/17	3583359	446
4/24/17	3589223	1860
4/25/17	3594944	852
4/26/17	3600841	772
4/27/17	3606478	1184
4/28/17	3612120	2371
4/29/17	3617817	753
4/30/17	3623443	1349
5/1/17	3629091	1382
5/2/17	3634715	2359
5/3/17	3640334	878
5/4/17	3645983	1240
5/5/17	3651632	1002
5/6/17	3657307	707
5/7/17	3662985	882
5/8/17	3668703	1913
5/9/17	3674343	1477
5/10/17	3680015	1416
5/11/17	3685663	2061
5/12/17	3691365	1387
5/13/17	3697053	1200
5/14/17	3702644	969
5/15/17	3708046	2655
5/16/17	3713447	1998
5/17/17	3718904	5787
5/18/17	3724229	2902
5/19/17	3729691	3062
5/20/17	3735115	1871
5/21/17	3740604	2032
5/22/17	3746041	2053
5/23/17	3751509	4220
5/24/17	3756928	3527
5/25/17	3762355	2591
5/26/17	3767820	3002
5/27/17	3773312	2088
5/28/17	3778751	2145
5/29/17	3784204	1918
5/30/17	3789783	4864
5/31/17	3795364	13544
6/1/17	3800776	4601
6/2/17	3806052	14380
6/3/17	3811139	4610
6/4/17	3816345	5800
6/5/17	3821505	4644
6/6/17	3826754	6009
6/7/17	3831962	9207
6/8/17	3837201	4873
6/9/17	3842410	4670
6/10/17	3847624	3441
6/11/17	3852956	3322
6/12/17	3858202	12971
6/13/17	3863439	5884
6/14/17	3868711	5313
6/15/17	3874004	5567
6/16/17	3879309	9267
6/17/17	3884645	4288
6/18/17	3889924	6243
6/19/17	3895271	6506
6/20/17	3900605	27915
6/21/17	3905572	36941
6/22/17	3910470	21924
6/23/17	3915414	7207
6/24/17	3920304	17297
6/25/17	3925243	3699
6/26/17	3930169	10121
6/27/17	3935134	6367
6/28/17	3940135	17671
6/29/17	3945096	6380
6/30/17	3950123	5322
7/1/17	3955159	6354
7/2/17	3960168	7398
7/3/17	3965202	7476
7/4/17	3970254	9717
7/5/17	3975332	8657
7/6/17	3980317	7695
7/7/17	3985363	8095
7/8/17	3990447	5170
7/9/17	3995534	3853
7/10/17	4000628	12509
7/11/17	4005222	10168
7/12/17	4009742	11331
7/13/17	4014251	11846
7/14/17	4018763	10311
7/15/17	4023265	6558
7/16/17	4027868	4950
7/17/17	4032443	7181
7/18/17	4036902	9517
7/19/17	4041453	5834
7/20/17	4046090	7520
7/21/17	4050722	4785
7/22/17	4055265	4723
7/23/17	4059914	3796
7/24/17	4064574	10433
7/25/17	4069156	5095
7/26/17	4073842	4468
7/27/17	4078492	5935
7/28/17	4083126	6510
7/29/17	4087773	3620
7/30/17	4092456	2986
7/31/17	4097160	6173
8/1/17	4101695	5729
8/2/17	4105782	4894
8/3/17	4109826	5267
8/4/17	4113802	6331
8/5/17	4117842	5757
8/6/17	4121876	4031
8/7/17	4125908	8038
8/8/17	4130002	7146
8/9/17	4134095	6052
8/10/17	4138208	8370
8/11/17	4142237	8432
8/12/17	4146342	14017
8/13/17	4150455	5757
8/14/17	4154584	13733
8/15/17	4158717	16013
8/16/17	4162849	31241
8/17/17	4167015	24866
8/18/17	4171159	26244
8/19/17	4175295	12716
8/20/17	4179506	10129
8/21/17	4183662	12875
8/22/17	4187895	13137
8/23/17	4192080	12737
8/24/17	4196296	15274
8/25/17	4200480	16179
8/26/17	4204034	18218
8/27/17	4207533	15582
8/28/17	4211047	15322
8/29/17	4214493	17755
8/30/17	4218034	11849
8/31/17	4221565	20737
9/1/17	4225038	14645
9/2/17	4228559	13762
9/3/17	4232100	8933
9/4/17	4235639	15447
9/5/17	4239166	20708
9/6/17	4242725	21226
9/7/17	4246235	18182
9/8/17	4249782	15187
9/9/17	4253374	11137
9/10/17	4256935	5599
9/11/17	4260509	9419
9/12/17	4264060	13276
9/13/17	4267663	10765
9/14/17	4271199	9633
9/15/17	4274798	16765
9/16/17	4278414	19603
9/17/17	4282023	5915
9/18/17	4285653	9178
9/19/17	4289210	9814
9/20/17	4292838	18776
9/21/17	4296438	12485
9/22/17	4300083	9655
9/23/17	4303084	13188
9/24/17	4305968	23342
9/25/17	4308906	17455
9/26/17	4311742	15750
9/27/17	4314632	11871
9/28/17	4317536	13765
9/29/17	4320392	12437
9/30/17	4323221	16360
10/1/17	4326061	15485
10/2/17	4328923	13870
10/3/17	4331765	13921
10/4/17	4334627	18407
10/5/17	4337513	19926
10/6/17	4340459	20034
10/7/17	4343307	15697
10/8/17	4346155	11335
10/9/17	4349034	11121
10/10/17	4351916	13027
10/11/17	4354831	15848
10/12/17	4357746	17158
10/13/17	4360645	19350
10/14/17	4363536	24952
10/15/17	4366423	20530
10/16/17	4369348	20216
10/17/17	4373902	9850
10/18/17	4379952	21995
10/19/17	4386173	28040
10/20/17	4392414	15612
10/21/17	4398651	7605
10/22/17	4404880	6314
10/23/17	4411160	6855
10/24/17	4417414	8683
10/25/17	4423662	15109
10/26/17	4429838	11075
10/27/17	4435995	8757
10/28/17	4442224	9620
10/29/17	4448464	9013
10/30/17	4454658	13187
10/31/17	4460730	19151
11/1/17	4467005	12402
11/2/17	4473147	9443
11/3/17	4479291	8146
11/4/17	4485499	7358
11/5/17	4491695	5330
11/6/17	4497994	5672
11/7/17	4504193	10679
11/8/17	4510404	10372
11/9/17	4516640	8543
11/10/17	4522835	7409
11/11/17	4529135	7168
11/12/17	4535402	5831
11/13/17	4541647	9628
11/14/17	4547872	11244
11/15/17	4553994	14689
11/16/17	4560231	13847
11/17/17	4566385	14003
11/18/17	4572620	8835
11/19/17	4578835	9058
11/20/17	4585101	13552
11/21/17	4591277	12685
11/22/17	4597451	15768
11/23/17	4603693	10213
11/24/17	4609883	8406
11/25/17	4616117	9246
11/26/17	4622318	34676
11/27/17	4628487	20346
11/28/17	4634573	13585
11/29/17	4640667	14307
11/30/17	4646775	12165
12/1/17	4652926	14879
12/2/17	4659053	10944
12/3/17	4665106	15265
12/4/17	4671135	13854
12/5/17	4676806	14513
12/6/17	4682394	10990
12/7/17	4687867	11740
12/8/17	4693665	14465
12/9/17	4699468	14452
12/10/17	4705281	17657
12/11/17	4711062	22487
12/12/17	4716811	21567
12/13/17	4722526	21930
12/14/17	4728185	14634
12/15/17	4733879	18274
12/16/17	4739679	25206
12/17/17	4745454	16750
12/18/17	4751235	16845
12/19/17	4757016	18614
12/20/17	4762620	12560
12/21/17	4768191	13576
12/22/17	4773761	13406
12/23/17	4779413	12943
12/24/17	4785360	8348
12/25/17	4791341	8833
12/26/17	4797373	8884
12/27/17	4803365	10057
12/28/17	4809331	12855
12/29/17	4815220	12938
12/30/17	4821006	11386
12/31/17	4826779	11366
1/1/18	4832686	9784
1/2/18	4838612	13843
1/3/18	4844362	13244
1/4/18	4849902	13623
1/5/18	4855356	23111
1/6/18	4860697	21220
1/7/18	4866113	24058
1/8/18	4871641	18919
1/9/18	4877049	16789
1/10/18	4882426	17003
1/11/18	4887841	17835
1/12/18	4893271	19366
1/13/18	4898690	22479
1/14/18	4904084	23548
1/15/18	4909709	23071
1/16/18	4915133	21736
1/17/18	4920655	17090
1/18/18	4926227	21447
1/19/18	4931796	23852
1/20/18	4937481	21853
1/21/18	4943354	8577
