DATE	#TRACES_SUCCESS
1/26/17	63190
1/27/17	61507
1/28/17	58739
1/29/17	56064
1/30/17	61072
1/31/17	56754
2/1/17	60450
2/2/17	60522
2/3/17	58711
2/4/17	60475
2/5/17	60340
2/6/17	60010
2/7/17	66492
2/8/17	65752
2/9/17	75410
2/10/17	89082
2/11/17	70290
2/12/17	66108
2/13/17	78140
2/14/17	79032
2/15/17	79665
2/16/17	68372
2/17/17	66821
2/18/17	66408
2/19/17	61480
2/20/17	65895
2/21/17	75018
2/22/17	70490
2/23/17	63394
2/24/17	70029
2/25/17	78857
2/26/17	65580
2/27/17	73988
2/28/17	79525
3/1/17	77200
3/2/17	87185
3/3/17	83236
3/4/17	73129
3/5/17	70570
3/6/17	71307
3/7/17	74903
3/8/17	69315
3/9/17	81985
3/10/17	83406
3/11/17	83129
3/12/17	82438
3/13/17	102583
3/14/17	97837
3/15/17	105565
3/16/17	136415
3/17/17	137709
3/18/17	111048
3/19/17	103033
3/20/17	102164
3/21/17	103729
3/22/17	102526
3/23/17	102972
3/24/17	113935
3/25/17	106133
3/26/17	103593
3/27/17	127547
3/28/17	112986
3/29/17	120164
3/30/17	119175
3/31/17	132162
4/1/17	100913
4/2/17	117113
4/3/17	134769
4/4/17	110386
4/5/17	112237
4/6/17	119059
4/7/17	117096
4/8/17	91315
4/9/17	101351
4/10/17	100626
4/11/17	97829
4/12/17	101319
4/13/17	107031
4/14/17	107681
4/15/17	98593
4/16/17	93355
4/17/17	100282
4/18/17	121344
4/19/17	123892
4/20/17	118237
4/21/17	109865
4/22/17	101961
4/23/17	113774
4/24/17	111437
4/25/17	127306
4/26/17	126765
4/27/17	150454
4/28/17	140595
4/29/17	122943
4/30/17	141636
5/1/17	162371
5/2/17	155802
5/3/17	134280
5/4/17	153978
5/5/17	146722
5/6/17	133206
5/7/17	144191
5/8/17	164788
5/9/17	161538
5/10/17	167166
5/11/17	172103
5/12/17	164695
5/13/17	158466
5/14/17	161025
5/15/17	195260
5/16/17	188577
5/17/17	231046
5/18/17	238826
5/19/17	257289
5/20/17	220669
5/21/17	247305
5/22/17	264986
5/23/17	298197
5/24/17	310098
5/25/17	291623
5/26/17	276961
5/27/17	241450
5/28/17	257843
5/29/17	269563
5/30/17	357268
5/31/17	314511
6/1/17	329239
6/2/17	400004
6/3/17	297652
6/4/17	299996
6/5/17	311245
6/6/17	320960
6/7/17	346850
6/8/17	306614
6/9/17	335998
6/10/17	326064
6/11/17	354079
6/12/17	456753
6/13/17	433106
6/14/17	381632
6/15/17	387848
6/16/17	377905
6/17/17	374570
6/18/17	378925
6/19/17	441855
6/20/17	390553
6/21/17	315949
6/22/17	413647
6/23/17	430013
6/24/17	360913
6/25/17	360401
6/26/17	451413
6/27/17	408711
6/28/17	440982
6/29/17	426437
6/30/17	407833
7/1/17	351456
7/2/17	378920
7/3/17	452331
7/4/17	425951
7/5/17	409939
7/6/17	405992
7/7/17	460248
7/8/17	375913
7/9/17	337795
7/10/17	418184
7/11/17	464353
7/12/17	429988
7/13/17	410925
7/14/17	380778
7/15/17	352047
7/16/17	395089
7/17/17	405235
7/18/17	405989
7/19/17	406038
7/20/17	399107
7/21/17	360455
7/22/17	309646
7/23/17	389278
7/24/17	399118
7/25/17	361517
7/26/17	328140
7/27/17	314822
7/28/17	369024
7/29/17	285492
7/30/17	304256
7/31/17	363619
8/1/17	367571
8/2/17	384541
8/3/17	411674
8/4/17	412813
8/5/17	424882
8/6/17	423290
8/7/17	457991
8/8/17	495221
8/9/17	514190
8/10/17	529513
8/11/17	561121
8/12/17	540119
8/13/17	583081
8/14/17	657038
8/15/17	859539
8/16/17	727313
8/17/17	674940
8/18/17	690501
8/19/17	640027
8/20/17	543051
8/21/17	622938
8/22/17	569744
8/23/17	589929
8/24/17	541080
8/25/17	520635
8/26/17	481385
8/27/17	491659
8/28/17	576296
8/29/17	621010
8/30/17	625710
8/31/17	593954
9/1/17	628023
9/2/17	542477
9/3/17	495130
9/4/17	686815
9/5/17	662798
9/6/17	704443
9/7/17	682567
9/8/17	726775
9/9/17	603024
9/10/17	517847
9/11/17	571660
9/12/17	621497
9/13/17	581311
9/14/17	626145
9/15/17	735401
9/16/17	614236
9/17/17	542878
9/18/17	658507
9/19/17	601998
9/20/17	585301
9/21/17	604473
9/22/17	520802
9/23/17	456711
9/24/17	404647
9/25/17	482990
9/26/17	496988
9/27/17	504151
9/28/17	513443
9/29/17	486240
9/30/17	458708
10/1/17	456045
10/2/17	483898
10/3/17	509582
10/4/17	482376
10/5/17	451384
10/6/17	480464
10/7/17	466480
10/8/17	489802
10/9/17	506917
10/10/17	515854
10/11/17	490627
10/12/17	538608
10/13/17	595677
10/14/17	568262
10/15/17	502657
10/16/17	753698
10/17/17	752999
10/18/17	797415
10/19/17	859923
10/20/17	785316
10/21/17	637595
10/22/17	646705
10/23/17	804548
10/24/17	901807
10/25/17	791051
10/26/17	774100
10/27/17	791539
10/28/17	815657
10/29/17	813833
10/30/17	866139
10/31/17	921891
11/1/17	857295
11/2/17	867488
11/3/17	828463
11/4/17	704019
11/5/17	625413
11/6/17	731654
11/7/17	678889
11/8/17	794479
11/9/17	847508
11/10/17	805277
11/11/17	790307
11/12/17	845668
11/13/17	838899
11/14/17	833901
11/15/17	876454
11/16/17	865176
11/17/17	883688
11/18/17	816010
11/19/17	817388
11/20/17	875005
11/21/17	861852
11/22/17	850476
11/23/17	872959
11/24/17	912546
11/25/17	891536
11/26/17	930122
11/27/17	1040342
11/28/17	1073441
11/29/17	1076434
11/30/17	1012842
12/1/17	961140
12/2/17	1010178
12/3/17	1089334
12/4/17	1063716
12/5/17	1095426
12/6/17	1223685
12/7/17	1087178
12/8/17	1225481
12/9/17	1226504
12/10/17	1255475
12/11/17	1344134
12/12/17	1372483
12/13/17	1379866
12/14/17	1471416
12/15/17	1364617
12/16/17	1372702
12/17/17	1326791
12/18/17	1474852
12/19/17	1525105
12/20/17	1494214
12/21/17	1480984
12/22/17	1501847
12/23/17	1396775
12/24/17	1230981
12/25/17	1184503
12/26/17	1209040
12/27/17	1311765
12/28/17	1382092
12/29/17	1526154
12/30/17	1532035
12/31/17	1384298
1/1/18	1310118
1/2/18	1566773
1/3/18	1574509
1/4/18	1619351
1/5/18	1594746
1/6/18	1551431
1/7/18	1494290
1/8/18	1568851
1/9/18	1553475
1/10/18	1505322
1/11/18	1464284
1/12/18	1406134
1/13/18	1454421
1/14/18	1390981
1/15/18	1512234
1/16/18	1606211
1/17/18	1597469
1/18/18	1550087
1/19/18	1403063
1/20/18	1401715
1/21/18	1433536
1/22/18	1480742
1/23/18	1533557
1/24/18	1394010
1/25/18	1275352
1/26/18	1391003
1/27/18	1264357
1/28/18	1358015
1/29/18	1294475
1/30/18	1314843
1/31/18	1326249
2/1/18	1503669
2/2/18	1414740
2/3/18	1207292
2/4/18	1229054
2/5/18	1344215
2/6/18	1363383
2/7/18	1360985
2/8/18	1230097
2/9/18	1313112
2/10/18	1383654
2/11/18	1267823
2/12/18	1297271
2/13/18	1346020
2/14/18	1234765
2/15/18	1317508
2/16/18	1284490
2/17/18	1316429
2/18/18	1332191
2/19/18	1216039
2/20/18	1272917
2/21/18	1249647
2/22/18	1193628
2/23/18	1169135
2/24/18	1148223
2/25/18	1142400
2/26/18	1163046
2/27/18	1117788
2/28/18	1183349
3/1/18	1162466
3/2/18	1255352
3/3/18	1125963
3/4/18	1080067
3/5/18	1132427
3/6/18	1122614
3/7/18	1218344
3/8/18	1115378
3/9/18	1108104
3/10/18	1112791
3/11/18	1048550
3/12/18	1103762
3/13/18	1104286
3/14/18	1190719
3/15/18	1191171
3/16/18	1314589
3/17/18	1203072
3/18/18	1245591
3/19/18	1159522
3/20/18	1129715
3/21/18	1173826
3/22/18	1132890
3/23/18	1237852
3/24/18	1267869
3/25/18	1166250
3/26/18	1134643
3/27/18	1033540
3/28/18	981830
3/29/18	1085010
3/30/18	1225732
3/31/18	1214804
4/1/18	1146279
4/2/18	1170351
4/3/18	1314368
4/4/18	1269577
4/5/18	1344210
4/6/18	1285671
4/7/18	1284097
4/8/18	1163490
4/9/18	1281383
4/10/18	1279006
4/11/18	1488627
4/12/18	1428929
4/13/18	1423164
4/14/18	1335047
4/15/18	1424713
4/16/18	1413308
4/17/18	1407397
4/18/18	1420056
4/19/18	1498812
4/20/18	1462015
4/21/18	1532079
4/22/18	1453023
4/23/18	1498836
4/24/18	1568569
4/25/18	1486908
4/26/18	1455661
4/27/18	1325032
4/28/18	1219795
4/29/18	1262501
4/30/18	1324639
5/1/18	1285421
5/2/18	1390166
5/3/18	1453238
5/4/18	1489724
5/5/18	1434495
5/6/18	1418257
5/7/18	1408669
5/8/18	1409552
5/9/18	1488022
5/10/18	1408201
5/11/18	1421542
5/12/18	1322073
5/13/18	1355896
5/14/18	1389712
5/15/18	1373600
5/16/18	1380076
5/17/18	1318254
5/18/18	1337524
5/19/18	1285328
5/20/18	1314068
5/21/18	1349057
5/22/18	1289237
5/23/18	1379648
5/24/18	1324155
5/25/18	1284761
5/26/18	1215895
5/27/18	1174405
5/28/18	1329721
5/29/18	1269483
5/30/18	1194038
5/31/18	1307997
6/1/18	1293183
6/2/18	1201106
6/3/18	1168328
6/4/18	1216244
6/5/18	1180897
6/6/18	1419295
6/7/18	1154581
6/8/18	1228240
6/9/18	1133694
6/10/18	1253620
6/11/18	1224510
6/12/18	1225657
6/13/18	1198935
6/14/18	1130821
6/15/18	1099851
6/16/18	1085398
6/17/18	1076302
6/18/18	1145993
6/19/18	1198414
6/20/18	1289079
6/21/18	1317667
6/22/18	1295187
6/23/18	1164466
6/24/18	1197545
6/25/18	1368875
6/26/18	1250162
6/27/18	1354796
6/28/18	1322991
6/29/18	1363237
6/30/18	1269780
7/1/18	1237055
