DATE	#TRACES_CALL
3/8/17	69457
3/9/17	82027
3/10/17	82540
3/11/17	83214
3/12/17	82483
3/13/17	102514
3/14/17	97145
3/15/17	104746
3/16/17	135268
3/17/17	137620
3/18/17	110948
3/19/17	102970
3/20/17	102049
3/21/17	103575
3/22/17	102092
3/23/17	102803
3/24/17	113163
3/25/17	106121
3/26/17	103570
3/27/17	125293
3/28/17	113438
3/29/17	120306
3/30/17	118935
3/31/17	131857
4/1/17	100699
4/2/17	117360
4/3/17	134512
4/4/17	110121
4/5/17	111208
4/6/17	118667
4/7/17	116715
4/8/17	90800
4/9/17	101073
4/10/17	100562
4/11/17	98166
4/12/17	98578
4/13/17	107295
4/14/17	107425
4/15/17	98810
4/16/17	93448
4/17/17	99993
4/18/17	120722
4/19/17	124371
4/20/17	117164
4/21/17	106049
4/22/17	100561
4/23/17	113604
4/24/17	111547
4/25/17	127103
4/26/17	124787
4/27/17	147936
4/28/17	141777
4/29/17	122882
4/30/17	141750
5/1/17	160962
5/2/17	154890
5/3/17	134503
5/4/17	152752
5/5/17	146555
5/6/17	130615
5/7/17	140199
5/8/17	164214
5/9/17	157882
5/10/17	162416
5/11/17	169594
5/12/17	161511
5/13/17	155324
5/14/17	157270
5/15/17	191786
5/16/17	183113
5/17/17	230387
5/18/17	234654
5/19/17	252245
5/20/17	214187
5/21/17	241645
5/22/17	258499
5/23/17	288442
5/24/17	297938
5/25/17	282769
5/26/17	269312
5/27/17	234037
5/28/17	249721
5/29/17	261876
5/30/17	344218
5/31/17	318789
6/1/17	314005
6/2/17	396818
6/3/17	291703
6/4/17	293054
6/5/17	306806
6/6/17	314912
6/7/17	341331
6/8/17	301173
6/9/17	330530
6/10/17	320730
6/11/17	341146
6/12/17	458933
6/13/17	428514
6/14/17	376535
6/15/17	383410
6/16/17	377063
6/17/17	369782
6/18/17	372623
6/19/17	434325
6/20/17	412886
6/21/17	349286
6/22/17	421993
6/23/17	424786
6/24/17	367508
6/25/17	348657
6/26/17	452825
6/27/17	408271
6/28/17	445947
6/29/17	420007
6/30/17	397327
7/1/17	348776
7/2/17	377659
7/3/17	443457
7/4/17	425559
7/5/17	405117
7/6/17	407384
7/7/17	458410
7/8/17	367333
7/9/17	331478
7/10/17	426764
7/11/17	468986
7/12/17	433568
7/13/17	403147
7/14/17	385351
7/15/17	354711
7/16/17	394966
7/17/17	400355
7/18/17	395480
7/19/17	405394
7/20/17	392820
7/21/17	352892
7/22/17	306820
7/23/17	383106
7/24/17	399451
7/25/17	352417
7/26/17	321545
7/27/17	315644
7/28/17	370885
7/29/17	283646
7/30/17	296643
7/31/17	359310
8/1/17	358561
8/2/17	378975
8/3/17	401899
8/4/17	410516
8/5/17	422374
8/6/17	412919
8/7/17	448280
8/8/17	487950
8/9/17	505440
8/10/17	524390
8/11/17	554046
8/12/17	534781
8/13/17	566293
8/14/17	642211
8/15/17	843946
8/16/17	750468
8/17/17	683458
8/18/17	699939
8/19/17	628223
8/20/17	526505
8/21/17	620446
8/22/17	565321
8/23/17	585227
8/24/17	547403
8/25/17	531046
8/26/17	490132
8/27/17	494530
8/28/17	580402
