DATE	ENDBLOCK
10/17/16	2459642
10/18/16	2465761
10/19/16	2471535
10/20/16	2477833
10/21/16	2483930
10/22/16	2489971
10/23/16	2495964
10/24/16	2502029
10/25/16	2508057
10/26/16	2514153
10/27/16	2520171
10/28/16	2526114
10/29/16	2531782
10/30/16	2537841
10/31/16	2543933
11/1/16	2549772
11/2/16	2555724
11/3/16	2561674
11/4/16	2567578
11/5/16	2573574
11/6/16	2579628
11/7/16	2585943
11/8/16	2592102
11/9/16	2598026
11/10/16	2603992
11/11/16	2609984
11/12/16	2616070
11/13/16	2622273
11/14/16	2628340
11/15/16	2634346
11/16/16	2640391
11/17/16	2646259
11/18/16	2652548
11/19/16	2658698
11/20/16	2664877
11/21/16	2670950
11/22/16	2676872
11/23/16	2682709
11/24/16	2688623
11/25/16	2694734
11/26/16	2700672
11/27/16	2706617
11/28/16	2712659
11/29/16	2718647
11/30/16	2724708
12/1/16	2730765
12/2/16	2736840
12/3/16	2743000
12/4/16	2748983
12/5/16	2754987
12/6/16	2761076
12/7/16	2767149
12/8/16	2773274
12/9/16	2779324
12/10/16	2785399
12/11/16	2791497
12/12/16	2797496
12/13/16	2803566
12/14/16	2809646
12/15/16	2815647
12/16/16	2821722
12/17/16	2827838
12/18/16	2833934
12/19/16	2839966
12/20/16	2846035
12/21/16	2852105
12/22/16	2858061
12/23/16	2864015
12/24/16	2870021
12/25/16	2876148
12/26/16	2882214
12/27/16	2888212
12/28/16	2894268
12/29/16	2900350
12/30/16	2906413
12/31/16	2912406
1/1/17	2918517
1/2/17	2924575
1/3/17	2930610
1/4/17	2936751
1/5/17	2942842
1/6/17	2948851
1/7/17	2954959
1/8/17	2961033
1/9/17	2967115
1/10/17	2973145
1/11/17	2979192
1/12/17	2985248
1/13/17	2991354
1/14/17	2997421
1/15/17	3003506
1/16/17	3009558
1/17/17	3015560
1/18/17	3021625
1/19/17	3027783
1/20/17	3033746
1/21/17	3039792
1/22/17	3045857
1/23/17	3051905
1/24/17	3057942
1/25/17	3063952
1/26/17	3070033
1/27/17	3076018
1/28/17	3082081
1/29/17	3088041
1/30/17	3094135
1/31/17	3100153
2/1/17	3106162
2/2/17	3112209
2/3/17	3118199
2/4/17	3124277
2/5/17	3130354
2/6/17	3136404
2/7/17	3142402
2/8/17	3148469
2/9/17	3154498
2/10/17	3160538
2/11/17	3166576
2/12/17	3172635
2/13/17	3178705
2/14/17	3184728
2/15/17	3190817
2/16/17	3196869
2/17/17	3202881
2/18/17	3208880
2/19/17	3214899
2/20/17	3220914
2/21/17	3226966
2/22/17	3232934
2/23/17	3238953
2/24/17	3244964
2/25/17	3251003
2/26/17	3257092
2/27/17	3263080
2/28/17	3269187
3/1/17	3275145
3/2/17	3281206
3/3/17	3287212
3/4/17	3293197
