DATE	#TRACES_CREATE
4/29/18	5429
4/30/18	7047
5/1/18	7975
5/2/18	6461
5/3/18	6132
5/4/18	4185
5/5/18	5805
5/6/18	15271
5/7/18	19181
5/8/18	12548
5/9/18	5126
5/10/18	3795
5/11/18	9525
5/12/18	4346
5/13/18	5603
5/14/18	6839
5/15/18	4417
5/16/18	5972
5/17/18	4171
5/18/18	7627
5/19/18	2830
5/20/18	3850
5/21/18	4070
5/22/18	3068
5/23/18	4688
5/24/18	6489
5/25/18	4639
5/26/18	2630
5/27/18	2485
5/28/18	3753
5/29/18	4127
5/30/18	3505
5/31/18	3047
6/1/18	2776
6/2/18	2517
6/3/18	3376
6/4/18	5484
6/5/18	3657
6/6/18	3249
6/7/18	3607
6/8/18	4249
6/9/18	3847
6/10/18	15076
6/11/18	16025
6/12/18	16446
6/13/18	21825
6/14/18	8273
6/15/18	3627
6/16/18	9915
6/17/18	2981
6/18/18	9194
6/19/18	9454
6/20/18	7149
6/21/18	13756
6/22/18	5060
6/23/18	7189
6/24/18	6400
6/25/18	3696
6/26/18	5368
6/27/18	4012
6/28/18	3960
6/29/18	4830
6/30/18	1907
7/1/18	1544
