DATE	#TRACES_SELFDESRUCT
7/14/17	348
7/15/17	381
7/16/17	388
7/17/17	364
7/18/17	483
7/19/17	308
7/20/17	279
7/21/17	344
7/22/17	268
7/23/17	209
7/24/17	268
7/25/17	768
7/26/17	196
7/27/17	172
7/28/17	120
7/29/17	247
7/30/17	200
7/31/17	240
8/1/17	212
8/2/17	178
8/3/17	158
8/4/17	236
8/5/17	138
8/6/17	211
8/7/17	158
8/8/17	181
8/9/17	118
8/10/17	139
8/11/17	124
8/12/17	175
8/13/17	191
8/14/17	161
8/15/17	47
8/16/17	70
8/17/17	394
8/18/17	175
8/19/17	286
8/20/17	212
8/21/17	140
8/22/17	90
8/23/17	99
8/24/17	117
8/25/17	88
8/26/17	121
8/27/17	111
8/28/17	337
8/29/17	144
8/30/17	101
8/31/17	73
9/1/17	142
9/2/17	93
9/3/17	163
9/4/17	62
9/5/17	101
9/6/17	63
9/7/17	78
9/8/17	228
9/9/17	154
9/10/17	85
9/11/17	169
9/12/17	62
9/13/17	64
9/14/17	207
9/15/17	34
9/16/17	175
9/17/17	195
9/18/17	85
9/19/17	179
9/20/17	157
9/21/17	119
9/22/17	30
9/23/17	81
9/24/17	53
9/25/17	30
9/26/17	15
9/27/17	11
9/28/17	25
9/29/17	14
9/30/17	25
10/1/17	11
10/2/17	25
10/3/17	5
10/4/17	15
10/5/17	20
10/6/17	22
10/7/17	16
10/8/17	23
10/9/17	48
10/10/17	53
10/11/17	14
10/12/17	38
10/13/17	15
10/14/17	43
10/15/17	44
10/16/17	2439
10/17/17	153
10/18/17	69
10/19/17	126
10/20/17	101
10/21/17	98
10/22/17	115
10/23/17	79
10/24/17	84
10/25/17	92
10/26/17	103
10/27/17	110
10/28/17	106
10/29/17	86
10/30/17	139
10/31/17	63
11/1/17	106
11/2/17	102
11/3/17	83
11/4/17	121
11/5/17	126
11/6/17	88
11/7/17	122
11/8/17	170
11/9/17	99
11/10/17	137
11/11/17	87
11/12/17	95
11/13/17	201
11/14/17	94
11/15/17	72
11/16/17	100
11/17/17	243
11/18/17	127
11/19/17	127
11/20/17	114
11/21/17	211
11/22/17	203
11/23/17	145
11/24/17	97
11/25/17	109
11/26/17	141
11/27/17	125
11/28/17	93
11/29/17	89
11/30/17	86
12/1/17	62
12/2/17	103
12/3/17	64
12/4/17	16
12/5/17	12
12/6/17	7
12/7/17	48
12/8/17	6
12/9/17	2
12/10/17	9
12/11/17	12
12/12/17	4
12/13/17	7
12/14/17	8
12/15/17	11
12/16/17	16
12/17/17	14
12/18/17	16
12/19/17	24
12/20/17	14
12/21/17	15
12/22/17	10
12/23/17	536
12/24/17	724
12/25/17	739
12/26/17	18
12/27/17	40
12/28/17	46
12/29/17	84
12/30/17	149
12/31/17	84
1/1/18	65
1/2/18	79
1/3/18	14
1/4/18	9
1/5/18	7
1/6/18	10
1/7/18	9
1/8/18	5
1/9/18	4
1/10/18	3
1/11/18	6
1/12/18	12
1/13/18	10
1/14/18	17
1/15/18	7
1/16/18	14
1/17/18	50
1/18/18	18
1/19/18	39
1/20/18	87
1/21/18	850
1/22/18	77
1/23/18	55
1/24/18	61
1/25/18	89
1/26/18	78
1/27/18	6
1/28/18	110
