DATE	STARTBLOCK
12/27/16	2882215
12/28/16	2888213
12/29/16	2894269
12/30/16	2900351
12/31/16	2906414
1/1/17	2912407
1/2/17	2918518
1/3/17	2924576
1/4/17	2930611
1/5/17	2936752
1/6/17	2942843
1/7/17	2948852
1/8/17	2954960
1/9/17	2961034
1/10/17	2967116
1/11/17	2973146
1/12/17	2979193
1/13/17	2985249
1/14/17	2991355
1/15/17	2997422
1/16/17	3003507
1/17/17	3009559
1/18/17	3015561
1/19/17	3021626
1/20/17	3027784
1/21/17	3033747
1/22/17	3039793
1/23/17	3045858
1/24/17	3051906
1/25/17	3057943
1/26/17	3063953
1/27/17	3070034
1/28/17	3076019
1/29/17	3082082
1/30/17	3088042
1/31/17	3094136
2/1/17	3100154
2/2/17	3106163
2/3/17	3112210
2/4/17	3118200
2/5/17	3124278
2/6/17	3130355
2/7/17	3136405
2/8/17	3142403
2/9/17	3148470
2/10/17	3154499
2/11/17	3160539
2/12/17	3166577
2/13/17	3172636
2/14/17	3178706
2/15/17	3184729
2/16/17	3190818
2/17/17	3196870
2/18/17	3202882
2/19/17	3208881
2/20/17	3214900
2/21/17	3220915
2/22/17	3226967
2/23/17	3232935
2/24/17	3238954
2/25/17	3244965
2/26/17	3251004
2/27/17	3257093
2/28/17	3263081
3/1/17	3269188
3/2/17	3275146
3/3/17	3281207
3/4/17	3287213
3/5/17	3293198
3/6/17	3299271
3/7/17	3305248
3/8/17	3311226
3/9/17	3317242
3/10/17	3323170
3/11/17	3329123
3/12/17	3335125
3/13/17	3341044
3/14/17	3347084
3/15/17	3353045
3/16/17	3359031
3/17/17	3365021
3/18/17	3371067
3/19/17	3377058
3/20/17	3383008
3/21/17	3389074
3/22/17	3395031
3/23/17	3401039
3/24/17	3406953
3/25/17	3412866
3/26/17	3418828
3/27/17	3424809
3/28/17	3430760
3/29/17	3436660
3/30/17	3442648
3/31/17	3448558
4/1/17	3454529
4/2/17	3460455
4/3/17	3466301
4/4/17	3472280
4/5/17	3478212
4/6/17	3484198
4/7/17	3490078
4/8/17	3496024
4/9/17	3501960
4/10/17	3507757
4/11/17	3513515
4/12/17	3519364
4/13/17	3525143
4/14/17	3530941
4/15/17	3536849
4/16/17	3542570
4/17/17	3548390
4/18/17	3554251
4/19/17	3560112
4/20/17	3565830
4/21/17	3571689
4/22/17	3577567
4/23/17	3583359
4/24/17	3589223
4/25/17	3594944
4/26/17	3600841
4/27/17	3606478
4/28/17	3612120
4/29/17	3617817
4/30/17	3623443
5/1/17	3629091
5/2/17	3634715
5/3/17	3640334
5/4/17	3645983
5/5/17	3651632
5/6/17	3657307
5/7/17	3662985
5/8/17	3668703
5/9/17	3674343
5/10/17	3680015
5/11/17	3685663
5/12/17	3691365
5/13/17	3697053
5/14/17	3702644
5/15/17	3708046
5/16/17	3713447
5/17/17	3718904
5/18/17	3724229
5/19/17	3729691
5/20/17	3735115
5/21/17	3740604
5/22/17	3746041
5/23/17	3751509
5/24/17	3756928
5/25/17	3762355
5/26/17	3767820
5/27/17	3773312
5/28/17	3778751
5/29/17	3784204
5/30/17	3789783
5/31/17	3795364
6/1/17	3800776
6/2/17	3806052
6/3/17	3811139
6/4/17	3816345
6/5/17	3821505
6/6/17	3826754
6/7/17	3831962
6/8/17	3837201
6/9/17	3842410
6/10/17	3847624
6/11/17	3852956
6/12/17	3858202
6/13/17	3863439
6/14/17	3868711
6/15/17	3874004
6/16/17	3879309
6/17/17	3884645
6/18/17	3889924
6/19/17	3895271
6/20/17	3900605
6/21/17	3905572
6/22/17	3910470
6/23/17	3915414
6/24/17	3920304
6/25/17	3925243
6/26/17	3930169
6/27/17	3935134
6/28/17	3940135
6/29/17	3945096
6/30/17	3950123
7/1/17	3955159
7/2/17	3960168
7/3/17	3965202
7/4/17	3970254
7/5/17	3975332
7/6/17	3980317
7/7/17	3985363
7/8/17	3990447
7/9/17	3995534
7/10/17	4000628
7/11/17	4005222
7/12/17	4009742
7/13/17	4014251
7/14/17	4018763
7/15/17	4023265
7/16/17	4027868
7/17/17	4032443
7/18/17	4036902
7/19/17	4041453
7/20/17	4046090
7/21/17	4050722
7/22/17	4055265
7/23/17	4059914
7/24/17	4064574
7/25/17	4069156
7/26/17	4073842
7/27/17	4078492
7/28/17	4083126
7/29/17	4087773
7/30/17	4092456
7/31/17	4097160
8/1/17	4101695
8/2/17	4105782
8/3/17	4109826
8/4/17	4113802
8/5/17	4117842
8/6/17	4121876
8/7/17	4125908
8/8/17	4130002
8/9/17	4134095
8/10/17	4138208
8/11/17	4142237
8/12/17	4146342
8/13/17	4150455
8/14/17	4154584
8/15/17	4158717
8/16/17	4162849
8/17/17	4167015
8/18/17	4171159
8/19/17	4175295
8/20/17	4179506
8/21/17	4183662
8/22/17	4187895
8/23/17	4192080
8/24/17	4196296
8/25/17	4200480
8/26/17	4204034
8/27/17	4207533
8/28/17	4211047
8/29/17	4214493
8/30/17	4218034
8/31/17	4221565
9/1/17	4225038
9/2/17	4228559
9/3/17	4232100
9/4/17	4235639
9/5/17	4239166
9/6/17	4242725
9/7/17	4246235
9/8/17	4249782
9/9/17	4253374
9/10/17	4256935
9/11/17	4260509
9/12/17	4264060
9/13/17	4267663
9/14/17	4271199
9/15/17	4274798
9/16/17	4278414
9/17/17	4282023
9/18/17	4285653
9/19/17	4289210
9/20/17	4292838
9/21/17	4296438
9/22/17	4300083
9/23/17	4303084
9/24/17	4305968
9/25/17	4308906
9/26/17	4311742
9/27/17	4314632
9/28/17	4317536
9/29/17	4320392
9/30/17	4323221
10/1/17	4326061
10/2/17	4328923
10/3/17	4331765
10/4/17	4334627
10/5/17	4337513
10/6/17	4340459
10/7/17	4343307
10/8/17	4346155
10/9/17	4349034
10/10/17	4351916
10/11/17	4354831
10/12/17	4357746
10/13/17	4360645
10/14/17	4363536
10/15/17	4366423
10/16/17	4369348
10/17/17	4373902
10/18/17	4379952
10/19/17	4386173
10/20/17	4392414
10/21/17	4398651
10/22/17	4404880
10/23/17	4411160
10/24/17	4417414
10/25/17	4423662
10/26/17	4429838
10/27/17	4435995
10/28/17	4442224
10/29/17	4448464
10/30/17	4454658
10/31/17	4460730
