address	encoding	type	constant	name	signature	input_names
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x64779ad7	function	1	pausedOwnerAdmin	pausedOwnerAdmin()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x66188463	function	0	decreaseApproval	decreaseApproval(address,uint256)	_spender,_subtractedValue,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x70a08231	function	1	balanceOf	balanceOf(address)	_owner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x79cc6790	function	0	burnFrom	burnFrom(address,uint256)	_from,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8da5cb5b	function	1	owner	owner()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x8f283970	function	0	changeAdmin	changeAdmin(address)	newAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0x95d89b41	function	1	symbol	symbol()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xd73dd623	function	0	increaseApproval	increaseApproval(address,uint256)	_spender,_addedValue,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xdb0e16f1	function	0	emergencyERC20Drain	emergencyERC20Drain(address,uint256)	token,amount,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xdd62ed3e	function	1	allowance	allowance(address,address)	_owner,_spender,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xddeb5094	function	0	pause	pause(bool,bool)	newPausedPublic,newPausedOwnerAdmin,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf2fde38b	function	0	transferOwnership	transferOwnership(address)	newOwner,
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xf851a440	function	1	admin	admin()	
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27	0xcc16f5dbb4873280815c1ee09dbd06736cffcc184412cf7a71a0fdb75d397ca5	event	0	Burn	Burn(address,uint256)	_burner,_value,
