1145434,0,to
1145434,0,trace_1_from
1145776,10,to
1145807,4,log_0_topic_1
1145807,4,to
1145807,4,trace_1_from
1145857,1,log_0_topic_1
1145857,1,to
1145857,1,trace_1_from
1146407,7,log_0_topic_1
1146407,7,to
1146407,7,trace_1_from
1146737,0,log_0_topic_1
1146737,0,to
1146737,0,trace_1_from
1146810,4,log_0_topic_1
1146810,4,to
1146810,4,trace_1_from
1146937,2,log_0_topic_1
1146937,2,to
1146937,2,trace_1_from
1147092,9,log_0_topic_1
1147092,9,to
1147092,9,trace_1_from
1147379,3,log_0_topic_1
1147379,3,to
1147379,3,trace_1_from
1148343,1,log_0_topic_1
1148343,1,to
1148343,1,trace_1_from
1148348,0,log_0_topic_1
1148348,0,to
1148348,0,trace_1_from
1148353,1,log_0_topic_1
1148353,1,to
1148353,1,trace_1_from
1148364,10,log_0_topic_1
1148364,10,to
1148364,10,trace_1_from
1148659,0,log_0_topic_1
1148659,0,to
1148659,0,trace_1_from
1149094,9,log_0_topic_1
1149094,9,to
1149094,9,trace_1_from
1150625,2,log_0_topic_1
1150625,2,to
1150625,2,trace_1_from
1150684,0,log_0_topic_1
1150684,0,to
1150684,0,trace_1_from
1150983,0,log_0_topic_1
1150983,0,to
1150983,0,trace_1_from
1151577,7,to
1151577,7,trace_1_from
1151840,0,to
1151840,0,trace_1_from
1152983,2,log_0_topic_1
1152983,2,to
1152983,2,trace_1_from
1153896,2,log_0_topic_1
1153896,2,to
1153896,2,trace_1_from
1154169,2,to
1159648,0,log_0_topic_1
1159648,0,to
1159648,0,trace_1_from
1161302,3,log_0_topic_1
1161302,3,to
1161302,3,trace_1_from
1162395,3,log_0_topic_1
1162395,3,to
1162395,3,trace_1_from
1166012,0,log_0_topic_1
1166012,0,to
1166012,0,trace_1_from
1166491,1,log_0_topic_1
1166491,1,to
1166491,1,trace_1_from
1166620,0,log_0_topic_1
1166620,0,to
1166620,0,trace_1_from
1166629,0,log_0_topic_1
1166629,0,to
1166629,0,trace_1_from
1167799,10,log_0_topic_1
1167799,10,to
1167799,10,trace_1_from
1168585,5,log_0_topic_1
1168585,5,to
1168585,5,trace_1_from
1168849,1,log_0_topic_1
1168849,1,to
1168849,1,trace_1_from
1172222,0,log_0_topic_1
1172222,0,to
1172222,0,trace_1_from
1172314,1,log_0_topic_1
1172314,1,to
1172314,1,trace_1_from
1172333,7,log_0_topic_1
1172333,7,to
1172333,7,trace_1_from
1176098,1,log_0_topic_1
1176098,1,to
1176098,1,trace_1_from
1178108,1,log_0_topic_1
1178108,1,to
1178108,1,trace_1_from
1178425,1,log_0_topic_1
1178425,1,to
1178425,1,trace_1_from
1180975,1,log_0_topic_1
1180975,1,to
1180975,1,trace_1_from
1181089,2,log_0_topic_1
1181089,2,to
1181089,2,trace_1_from
1184244,1,log_0_topic_1
1184244,1,to
1184244,1,trace_1_from
1186200,4,log_0_topic_1
1186200,4,to
1186200,4,trace_1_from
1186206,0,log_0_topic_1
1186206,0,to
1186206,0,trace_1_from
1186210,1,log_0_topic_1
1186210,1,to
1186210,1,trace_1_from
1186224,3,log_0_topic_1
1186224,3,to
1186224,3,trace_1_from
1186229,2,log_0_topic_1
1186229,2,to
1186229,2,trace_1_from
1186232,20,log_0_topic_1
1186232,20,to
1186232,20,trace_1_from
1188599,18,log_0_topic_1
1188599,18,to
1188599,18,trace_1_from
1199205,1,log_0_topic_1
1199205,1,to
1199205,1,trace_1_from
1199245,0,log_0_topic_1
1199245,0,to
1199245,0,trace_1_from
1209240,12,log_0_topic_1
1209240,12,to
1209240,12,trace_1_from
1209534,4,log_0_topic_1
1209534,4,to
1209534,4,trace_1_from
1211210,4,log_0_topic_1
1211210,4,to
1211210,4,trace_1_from
1212588,1,log_0_topic_1
1212588,1,to
1212588,1,trace_1_from
1216649,0,log_0_topic_1
1216649,0,to
1216649,0,trace_1_from
1219676,1,log_0_topic_1
1219676,1,to
1219676,1,trace_1_from
1221636,0,log_0_topic_1
1221636,0,to
1221636,0,trace_1_from
1243252,0,log_0_topic_1
1243252,0,to
1243252,0,trace_1_from
1244657,4,log_0_topic_1
1244657,4,to
1244657,4,trace_1_from
1246031,4,log_0_topic_1
1246031,4,to
1246031,4,trace_1_from
1246117,2,log_0_topic_1
1246117,2,to
1246117,2,trace_1_from
1246438,7,log_0_topic_1
1246438,7,to
1246438,7,trace_1_from
1247135,3,log_0_topic_1
1247135,3,to
1247135,3,trace_1_from
1247993,0,to
1247993,0,trace_1_from
1248011,0,log_0_topic_1
1248011,0,to
